subject,task,ctrl,cong,cost,kl,rt
13,S 71,L,C,0.01696226754110567,0.011600532451205502,0.7275981735159818
13,S 72,L,I,0.01205507053276263,0.007808307867216414,0.8657066666666667
14,S 21,H,C,0.0012645251581598332,0.0006172727996121945,0.8858666666666667
14,S 22,H,I,0.0006347763706152738,0.0003181369304988942,0.9151415525114155
14,S 51,M,C,0.0074162966727262716,0.003959260121992491,0.8686486486486487
14,S 52,M,I,0.0021719728879546164,0.0011078784784024154,0.9595675675675676
14,S 71,L,C,0.0015313680414507144,0.0006747296033178442,0.8883287671232877
14,S 72,L,I,0.005123939293078211,0.0025023404703112817,1.0309333333333335
15,S 21,H,C,0.022455970522556778,0.012801650178558232,0.8994133333333333
15,S 22,H,I,0.03322685459342136,0.018728545224538987,0.9508675799086758
15,S 51,M,C,0.016099297170066522,0.008854817781849687,0.8841081081081081
15,S 52,M,I,0.03148499366257224,0.017681183862882605,1.034810810810811
15,S 71,L,C,0.012820493785829322,0.007180420796408994,0.8646940639269407
15,S 72,L,I,0.04253516425289309,0.02332337639080862,1.1024
16,S 21,H,C,0.03568806705573945,0.01854516119035911,1.0436266666666667
16,S 22,H,I,0.039435386820820706,0.01985684272627029,1.0282374429223744
16,S 51,M,C,0.0530633016940399,0.027640180683546896,0.9846486486486487
16,S 52,M,I,0.08722561330246893,0.04504387049628163,1.0838918918918918
16,S 71,L,C,0.03594852137022657,0.018621013620673185,0.978703196347032
16,S 72,L,I,0.05914024424379609,0.030809919124976284,1.10944
17,S 21,H,C,0.00941197063765642,0.004498580387585091,0.97568
17,S 22,H,I,0.005965158455828864,0.0031575493631437832,1.0966940639269405
17,S 51,M,C,0.009114790476978404,0.004605160828082697,0.8978378378378378
17,S 52,M,I,0.003992009460498503,0.002332727957093283,1.046918918918919
17,S 71,L,C,0.00926130802038078,0.005227084036182548,0.8898995433789955
17,S 72,L,I,0.01294249618098248,0.006962016982160989,1.10176
18,S 21,H,C,0.01623531630804941,0.007606883891444417,0.928
18,S 22,H,I,0.019528578342168215,0.009244868543992101,0.9187945205479452
18,S 51,M,C,0.0048391544607663,0.002071576634089172,0.921081081081081
18,S 52,M,I,0.01768480777289075,0.008220474392531364,0.9805405405405405
18,S 71,L,C,0.011757548746619315,0.005792350720816681,0.909662100456621
18,S 72,L,I,0.03826679130314975,0.018748981843775818,0.9889066666666666
19,S 21,H,C,0.005386855248961361,0.002536184355332742,1.0030933333333334
19,S 22,H,I,0.0036642681723923357,0.0019446815106279169,1.0920182648401826
19,S 51,M,C,0.0016503794786438966,0.0009152270072886291,0.9708108108108109
19,S 52,M,I,0.0026475633214675144,0.0011205162518668891,1.1274594594594594
19,S 71,L,C,0.0033319368405573015,0.0018515288226891658,0.9415525114155251
19,S 72,L,I,0.013172418141125568,0.00700449906982902,1.1938133333333332
20,S 21,H,C,0.025440379522543195,0.015014597096892734,0.9909333333333333
20,S 22,H,I,0.031583020816238254,0.01858066053606573,0.9903196347031964
20,S 51,M,C,0.017279272914651228,0.01012962924781369,0.959027027027027
20,S 52,M,I,0.0196026262308797,0.011412263588120985,1.0162162162162163
20,S 71,L,C,0.005757924487621168,0.0032337723084918547,1.0281278538812786
20,S 72,L,I,0.020080589375342163,0.011852353827855103,1.1290666666666667
21,S 21,H,C,0.009384153167275205,0.004681646940886735,0.8587733333333333
21,S 22,H,I,0.01207680362788104,0.0057395114100823414,0.8746301369863014
21,S 51,M,C,0.006396867323430485,0.0032983812063606083,0.7841081081081082
21,S 52,M,I,0.02478194913451088,0.012239897469726098,0.8878918918918919
21,S 71,L,C,0.007389623510500677,0.003469444767799183,0.7940091324200913
21,S 72,L,I,0.018984400551448156,0.00935110982249649,0.904
22,S 21,H,C,0.001940982200872808,0.0010628218474265415,1.0882133333333335
22,S 22,H,I,0.006145631538483195,0.0033643751383494614,1.1726392694063927
22,S 51,M,C,0.0006252274314550281,0.0002560388951538188,1.1488648648648647
22,S 52,M,I,0.0034868312963613935,0.001550550764489577,1.227891891891892
22,S 71,L,C,0.0008895424332260368,0.0003656535620440047,1.003799086757991
22,S 72,L,I,0.0024840248212957237,0.0011876682273196017,1.2458666666666665
23,S 21,H,C,0.009757663961167017,0.005474259662678772,1.14432
23,S 22,H,I,0.006617303848026467,0.003506866416083554,1.1008949771689498
23,S 51,M,C,0.009445951852057058,0.004976732703289768,1.0428108108108107
23,S 52,M,I,0.023324649310725386,0.01217861120980657,1.0872432432432433
23,S 71,L,C,0.00432756477231688,0.0020656036964283395,1.066593607305936
23,S 72,L,I,0.010034275145037928,0.005306340998807037,1.12064
24,S 21,H,C,0.007299342777981664,0.003871826569464119,1.1003733333333332
24,S 22,H,I,0.010153789534803228,0.005569513852140405,1.0554155251141553
24,S 51,M,C,0.008240501068657525,0.004498568034409736,0.9777297297297297
24,S 52,M,I,0.009824071931261473,0.005754606771758441,1.073837837837838
