Subject,Cond,Int,State,Delta
8,I,H,G,-0.01563147355794993
8,I,H,H,0.021155011172034707
8,I,H,I,0.00014330732258030499
8,I,M,A,-0.015506362599461573
8,I,M,B,-0.014689635680756707
8,I,M,C,-0.0012806041865019852
8,I,M,D,0.021688116867351198
8,I,M,E,-0.004310105814590626
8,I,M,F,0.030749690654541334
8,I,M,G,0.001272265797807537
8,I,M,H,-0.0028955792199643338
8,I,M,I,-0.01502778581842483
8,I,L,A,0.0004763820084072723
8,I,L,B,-0.008400394429199015
8,I,L,C,0.016340302796929218
8,I,L,D,-0.0022331630213690695
8,I,L,E,0.019473444136226675
8,I,L,F,0.016269964626107872
8,I,L,G,-0.019648885192700097
8,I,L,H,-0.008640412072919282
8,I,L,I,-0.013637238851483588
9,C,H,A,-0.024201244360046656
9,C,H,B,-0.017890143914588985
9,C,H,C,0.01246879807287872
9,C,H,D,0.005636842760807281
9,C,H,E,0.007806210583907569
9,C,H,F,0.014727270474522311
9,C,H,G,-0.002606908865396912
9,C,H,H,0.015985090112091524
9,C,H,I,-0.011925914864174852
9,C,M,A,-0.029962559640782926
9,C,M,B,-0.034737449070099596
9,C,M,C,0.011084367910423637
9,C,M,D,0.038179214629023225
9,C,M,E,0.013011686278935605
9,C,M,F,0.003662553559600795
9,C,M,G,0.01176520829692386
9,C,M,H,-0.0062943796180688905
9,C,M,I,-0.006708642345955709
9,C,L,A,-0.01887160833393195
9,C,L,B,-0.020272748414129765
9,C,L,C,0.000844357502666343
9,C,L,D,0.02337448901261356
9,C,L,E,0.010604469670234845
9,C,L,F,9.428637872982426e-06
9,C,L,G,-0.004854547017209582
9,C,L,H,0.0120969296509542
9,C,L,I,-0.002930770709070607
9,I,H,A,-0.0201410955506985
9,I,H,B,-0.02902974614115733
9,I,H,C,-0.0010559452404022146
9,I,H,D,0.02914122059261927
9,I,H,E,0.010014705646505043
9,I,H,F,0.003521138182373984
9,I,H,G,-0.004960347594523046
9,I,H,H,0.006569473284706209
9,I,H,I,0.005940596820576585
9,I,M,A,-0.028642291872928966
9,I,M,B,-0.033556424601020096
9,I,M,C,0.003370285721061128
9,I,M,D,0.03576047672258385
9,I,M,E,0.017696444743886694
9,I,M,F,-0.005243397646055067
9,I,M,G,-0.017969216819363712
9,I,M,H,0.006354813681671442
9,I,M,I,0.022229310070164723
9,I,L,A,-0.006823890008247818
9,I,L,B,-0.026874575752262958
9,I,L,C,-0.0004187640786253166
9,I,L,D,-0.0018389381503270824
9,I,L,E,0.01275003521339381
9,I,L,F,0.005752533511017094
9,I,L,G,-0.012096320021350429
9,I,L,H,0.0052223157937155845
9,I,L,I,0.024327603492687103
10,C,H,A,0.03606954997455179
10,C,H,B,-0.017618352016084624
10,C,H,C,0.02212247310913923
10,C,H,D,-0.02801961806105302
10,C,H,E,-0.00997445258894758
10,C,H,F,0.008979395947255026
10,C,H,G,-0.02164001077012752
10,C,H,H,-0.008396703101965053
10,C,H,I,0.018477717507231775
10,C,M,A,0.03159145893473249
10,C,M,B,-0.007792331960563018
10,C,M,C,0.005407352466467924
10,C,M,D,-0.00923565934417274
10,C,M,E,-0.014143789792126243
10,C,M,F,0.027202121481595454
10,C,M,G,-0.034737999626713756
10,C,M,H,-0.005934380076508761
10,C,M,I,0.007643227917288636
10,C,L,A,0.048123112850126784
10,C,L,B,-0.010425356346682083
10,C,L,C,0.010219379961667052
10,C,L,D,-0.01917538951474934
10,C,L,E,-0.0002924153385436973
10,C,L,F,0.012484310019053313
10,C,L,G,-0.046238115435963054
10,C,L,H,-0.006763990969686065
10,C,L,I,0.01206846477477709
10,I,H,A,0.06706431292668709
10,I,H,B,-0.009525556149530226
10,I,H,C,0.009909492336483638
10,I,H,D,-0.018569309592202488
10,I,H,E,-0.003961596892897046
10,I,H,F,-0.003815128886073854
10,I,H,G,-0.04312183716274737
10,I,H,H,-0.007320167938229399
10,I,H,I,0.009339791358509666
10,I,M,A,0.05294061145755795
10,I,M,B,-0.011203272106054832
10,I,M,C,-0.006239943461589653
10,I,M,D,-0.020033484191404383
10,I,M,E,0.0024538759405719757
10,I,M,F,-0.00864714594464798
10,I,M,G,-0.03595381545377328
10,I,M,H,-0.0027218356364595714
10,I,M,I,0.02940500939579979
10,I,L,A,0.054969581488587535
10,I,L,B,0.004780736881824593
10,I,L,C,0.003912517968039375
10,I,L,D,-0.02131232083746179
10,I,L,E,-0.003101090636003237
10,I,L,F,-0.017416027808612414
10,I,L,G,-0.038391922370362666
10,I,L,H,0.009270587259025645
10,I,L,I,0.007287938054963
11,C,H,A,-0.02799736884285261
11,C,H,B,-0.026557728065142172
11,C,H,C,0.02884592001449804
11,C,H,D,0.004760324905160873
11,C,H,E,-0.011287566436252602
11,C,H,F,0.0027857404552078663
11,C,H,G,0.0917128787822884
11,C,H,H,-0.0074528732817087245
11,C,H,I,-0.05480932753119905
11,C,M,A,-0.026082590581256657
11,C,M,B,-0.021935275849402754
11,C,M,C,-0.006096790741533714
11,C,M,D,0.012869920990906503
11,C,M,E,0.011782804321551849
11,C,M,F,0.01172906304080372
11,C,M,G,0.06567031938647047
11,C,M,H,-0.018250739990629428
11,C,M,I,-0.029686710576910025
11,C,L,A,-0.03315862067062931
11,C,L,B,-0.022484818614637393
11,C,L,C,0.04857657457639819
11,C,L,D,-0.003043791458496564
11,C,L,E,0.008837814960178075
11,C,L,F,0.0048528647022970245
11,C,L,G,0.0416295470816643
11,C,L,H,-0.012420197369867304
11,C,L,I,-0.032789373206907016
11,I,H,A,-0.038242675072425014
