,subj,K,GEV,silhouette,calinski-harabasz,dunn,davies_bouldin
187,21,9,0.8271027190107328,0.19925395566644968,2085.203989616237,5.999684255647051e-08,859730728514435.6
188,21,10,0.8333673619776184,0.21977649396206667,2086.711761427265,6.8642662299034e-08,385799370724392.1
189,22,2,0.5801539720281499,0.560265662814489,5875.470359983904,2.5795467633272818e-11,1.5358914434881213e+17
190,22,3,0.6396049261138798,0.5944712038519431,2513.3579840371963,4.811351335556403e-09,8.414211023876106
191,22,4,0.6832816587530373,0.5887670397031263,4588.521779643172,9.903997030669744e-09,3.989573403693022
192,22,5,0.7118671641133898,0.4851473092975539,3527.130040012616,6.71957345661022e-09,927638259683126.6
193,22,6,0.7326576157204658,0.4565138597806951,2091.197816127405,2.6752848008553368e-08,2.655342125931577
194,22,7,0.7488618352553635,0.36156840616778335,3007.7602665414843,1.3057961556690163e-08,3.396999373021063
195,22,8,0.760955326102451,0.32976676659236953,2484.533284878877,5.727434947837615e-09,578057794390728.9
196,22,9,0.7705438643934508,0.3099685182691473,2176.711840992202,1.8541286966633545e-08,1984173381433922.0
197,22,10,0.778788887011041,0.2784319330318742,1796.503139677906,2.851745285678826e-08,4.182881900839527
198,23,2,0.6016197546562654,0.5752377835240077,6578.02920801238,7.306809662482574e-10,4.557914826941379e+16
199,23,3,0.6617458994060728,0.5459210464030684,3829.6143163168827,1.003970675974625e-09,3.3709699420378416e+16
200,23,4,0.7058140643594497,0.5907172745580404,5134.679630115363,1.3004679895103207e-08,2463795969794701.5
201,23,5,0.7343822856798611,0.4979497288793312,4362.126976905041,3.250387904445857e-08,7215192806066600.0
202,23,6,0.7537555978339653,0.46661569659372554,3892.1666979702695,6.7908435626989e-08,1763642554818148.0
203,23,7,0.7705106391002918,0.36612874717874083,3337.228871162964,1.0646565453624524e-07,2548423677742936.5
204,23,8,0.7815007623829459,0.34980519617536937,2285.7513839350513,1.8827405209867816e-07,2.382927366376205
205,23,9,0.7916498228880693,0.32143783867521125,2930.489218754773,1.941602635537942e-07,1248241745179447.5
206,23,10,0.7995753823511662,0.28720003781421666,1858.3406218923951,1.1145876730838105e-07,1432550688133833.0
207,24,2,0.6788443606459802,0.541505459444613,9894.343374626143,6.82040247937219e-11,6.9093349499838024e+16
208,24,3,0.7290565489903563,0.6910150902738659,2030.6008371754574,2.058936732216595e-09,9003307716395624.0
209,24,4,0.7578141265347603,0.33727873837825356,5624.204640319554,9.243454222333085e-09,5212483838402557.0
210,24,5,0.7826248594068534,0.3858301700021976,4561.626970688343,7.23075097834086e-09,3024614019208005.5
211,24,6,0.797810456876417,0.3663037128516131,3800.308461105067,1.6560000916753725e-07,1399671117650066.0
212,24,7,0.811290769627858,0.29292405232392393,2919.9258814995915,1.0810484314283771e-07,1066728501441495.0
213,24,8,0.8206986116199468,0.27752829392568934,2308.421171222797,1.5631505521533996e-08,850490215677322.4
214,24,9,0.8294983148388491,0.2815639082510792,3351.741444353719,6.780884490525626e-08,1990119184723997.5
215,24,10,0.8351651663826024,0.2706024306068465,2914.095486897635,1.191486919423711e-07,448712000670245.3
216,25,2,0.6596265136359993,0.6313406003813496,7343.923940113631,1.034831944264527e-09,2.744847543774667e+16
217,25,3,0.7099254915418599,0.6230044656569098,2689.4437103102173,2.9641952014612326e-09,7.549762178027603
218,25,4,0.74529859239493,0.47875801177560917,2347.9053417086316,6.238603426404657e-09,5.926197542643076
219,25,5,0.771239915876104,0.3769190660584011,3895.684531212071,5.194379527555916e-09,1.1048884658176544e+16
220,25,6,0.7877374532915221,0.34538154877937555,3653.3818766835093,1.3961264643359943e-08,4958815234686431.0
221,25,7,0.798891917775562,0.26581879092636285,3308.0473179356363,8.358789149552405e-09,5628293495848627.0
222,25,8,0.8076471104773625,0.23867638855754325,2670.298188122446,1.1517298206277496e-08,3751829016428045.5
223,25,9,0.8157204210065503,0.23743542433152676,1846.4347140360833,8.358789149552405e-09,471074491728807.5
224,25,10,0.8229754481740923,0.21766199260765934,2511.075006951866,1.5203175275053608e-08,3905465250264512.0
225,26,2,0.651463880083694,0.5542014694773065,8234.23579052814,4.977054063169782e-10,3.803439390246867e+16
226,26,3,0.6928566655403423,0.6418162369976651,5512.065859177294,2.2363923189536128e-09,9772641799196620.0
227,26,4,0.7233482731568553,0.3604475153254272,2831.4824487692645,1.5681695319066382e-09,1092927480090926.1
228,26,5,0.7453347998325573,0.3590850727444067,2918.0088172385204,3.673079778136185e-08,8452207491357797.0
